artist_mbid,date_uts,date_#text,artist,album,song,week
1e32c30b-ae23-4a7e-9cb7-5b6bc64002ef,1607412863,"08 Dec 2020, 07:34",ABBA,Super Trouper,Lay All Your Love on Me,2658
1e32c30b-ae23-4a7e-9cb7-5b6bc64002ef,1607412657,"08 Dec 2020, 07:30",ABBA,Super Trouper,The Piper,2658
1e32c30b-ae23-4a7e-9cb7-5b6bc64002ef,1607412397,"08 Dec 2020, 07:26",ABBA,Super Trouper,Our Last Summer,2658
1e32c30b-ae23-4a7e-9cb7-5b6bc64002ef,1607412133,"08 Dec 2020, 07:22",ABBA,Super Trouper,Happy New Year,2658
1e32c30b-ae23-4a7e-9cb7-5b6bc64002ef,1607411839,"08 Dec 2020, 07:17",ABBA,Super Trouper,Me and I,2658
1e32c30b-ae23-4a7e-9cb7-5b6bc64002ef,1607411561,"08 Dec 2020, 07:12",ABBA,Super Trouper,"Andante, Andante",2658
1e32c30b-ae23-4a7e-9cb7-5b6bc64002ef,1607411341,"08 Dec 2020, 07:09",ABBA,Super Trouper,On and On and On,2658
1e32c30b-ae23-4a7e-9cb7-5b6bc64002ef,1607411046,"08 Dec 2020, 07:04",ABBA,Super Trouper,The Winner Takes It All,2658
1e32c30b-ae23-4a7e-9cb7-5b6bc64002ef,1607410794,"08 Dec 2020, 06:59",ABBA,Super Trouper,Super Trouper,2658
bf0f7e29-dfe1-416c-b5c6-f9ebc19ea810,1607358783,"07 Dec 2020, 16:33",Bee Gees,Bee Gees' 1st,To Love Somebody,2658
0c502791-4ee9-4c5f-9696-0602b721ff3b,1607358502,"07 Dec 2020, 16:28",Electric Light Orchestra,A New World Record,Telephone Line,2658
1e32c30b-ae23-4a7e-9cb7-5b6bc64002ef,1607358210,"07 Dec 2020, 16:23",ABBA,The Album,The Name of the Game,2658
76a5a114-ed6a-4eb6-8a81-ad5768d4b41c,1607357979,"07 Dec 2020, 16:19",KC and The Sunshine Band,Do You Wanna Go Party,Please Don't Go,2658
a42d3fd5-55de-4206-86c3-4fbb5404018f,1607357765,"07 Dec 2020, 16:16",Neil Diamond,Stones,I Am...I Said - Single Version,2658
ff294730-0315-440d-a543-54005779c15b,1607357556,"07 Dec 2020, 16:12",The Mamas & the Papas,If You Can Believe Your Eyes & Ears,"Monday, Monday - Single Version",2658
1d543e07-d0d2-4834-a8db-d65c50c2a856,1607357393,"07 Dec 2020, 16:09",Dolly Parton,9 To 5 And Odd Jobs,9 to 5,2658
1e32c30b-ae23-4a7e-9cb7-5b6bc64002ef,1607357118,"07 Dec 2020, 16:05",ABBA,Super Trouper,Lay All Your Love on Me,2658
57c6f649-6cde-48a7-8114-2a200247601a,1607356914,"07 Dec 2020, 16:01",Tom Jones,Delilah,Delilah,2658
,1607356724,"07 Dec 2020, 15:58",Kylie Minogue,DISCO (Deluxe),Monday Blues,2658
